,Event ID,Date,Short Name,Name,Date Time,Fight Number,Fight ID,Card Segment,Referee,Result Type,Winner ID,Red Fighter Name,Blue Fighter Name,American Odd that Red Fighter Will Win,American Odd that Blue Fighter Will Win,Location,Country,Winner of the Fight,Title Bout?,Weight Class,Number of Rounds in Fight,Blue Significant Strikes Landed/min,Blue Significant Striking Accuracy,Blue Average Submissions Attempted/15min,Blue Average Takedowns Landed/15min,Blue Takedown Accuracy,Red Significant Strikes Landed/min,Red Significant Striking Accuracy,Red Average Submissions Attempted/15min,Red Average Takedowns Landed/15min,Red Takedown Accuracy
28,105,2020-02-08,UFC 247,UFC 247: Jones vs. Reyes,2020-02-08T18:30:00,5,1169,Main Card,Dan Miragliotta,Scrambled,140000173.0,Juan Adams,Justin Tafa,-240,200,"Houston, Texas, USA", USA,Blue,False,Heavyweight,3,2.77,0.66,0.0,0.0,0.0,7.32,0.55,0.0,0.97,0.66
29,105,2020-02-08,UFC 247,UFC 247: Jones vs. Reyes,2020-02-08T18:30:00,6,1164,Prelims,Jacob Montalvo,Scrambled,140000353.0,Juan Adams,Justin Tafa,-240,200,"Houston, Texas, USA", USA,Blue,False,Heavyweight,3,2.77,0.66,0.0,0.0,0.0,7.32,0.55,0.0,0.97,0.66
30,105,2020-02-08,UFC 247,UFC 247: Jones vs. Reyes,2020-02-08T18:30:00,7,1168,Prelims,Jeff Rexroad,Scrambled,140000517.0,Juan Adams,Justin Tafa,-240,200,"Houston, Texas, USA", USA,Blue,False,Heavyweight,3,2.77,0.66,0.0,0.0,0.0,7.32,0.55,0.0,0.97,0.66
31,105,2020-02-08,UFC 247,UFC 247: Jones vs. Reyes,2020-02-08T18:30:00,8,1253,Prelims,Kerry Hatley,Scrambled,140000894.0,Juan Adams,Justin Tafa,-240,200,"Houston, Texas, USA", USA,Blue,False,Heavyweight,3,2.77,0.66,0.0,0.0,0.0,7.32,0.55,0.0,0.97,0.66
32,105,2020-02-08,UFC 247,UFC 247: Jones vs. Reyes,2020-02-08T18:30:00,9,1252,Prelims,Dan Miragliotta,Scrambled,140000008.0,Juan Adams,Justin Tafa,-240,200,"Houston, Texas, USA", USA,Blue,False,Heavyweight,3,2.77,0.66,0.0,0.0,0.0,7.32,0.55,0.0,0.97,0.66
34,105,2020-02-08,UFC 247,UFC 247: Jones vs. Reyes,2020-02-08T18:30:00,11,1263,Early Prelims,Kerry Hatley,Scrambled,140000419.0,Juan Adams,Justin Tafa,-240,200,"Houston, Texas, USA", USA,Blue,False,Heavyweight,3,2.77,0.66,0.0,0.0,0.0,7.32,0.55,0.0,0.97,0.66
35,105,2020-02-08,UFC 247,UFC 247: Jones vs. Reyes,2020-02-08T18:30:00,12,1298,Early Prelims,Jeff Rexroad,Scrambled,140000895.0,Juan Adams,Justin Tafa,-240,200,"Houston, Texas, USA", USA,Blue,False,Heavyweight,3,2.77,0.66,0.0,0.0,0.0,7.32,0.55,0.0,0.97,0.66
36,105,2020-02-08,UFC 247,UFC 247: Jones vs. Reyes,2020-02-08T18:30:00,1,1171,Main Card,Dan Miragliotta,Scrambled,140000146.0,Mirsad Bektic,Dan Ige,-125,105,"Houston, Texas, USA", USA,Blue,False,Featherweight,3,4.15,0.49,1.0,2.73,0.34,2.88,0.42,0.4,3.38,0.53
37,105,2020-02-08,UFC 247,UFC 247: Jones vs. Reyes,2020-02-08T18:30:00,2,1170,Main Card,Jacob Montalvo,Scrambled,140000402.0,Mirsad Bektic,Dan Ige,-125,105,"Houston, Texas, USA", USA,Blue,False,Featherweight,3,4.15,0.49,1.0,2.73,0.34,2.88,0.42,0.4,3.38,0.53
38,105,2020-02-08,UFC 247,UFC 247: Jones vs. Reyes,2020-02-08T18:30:00,3,1167,Main Card,Jeff Rexroad,Scrambled,140000627.0,Mirsad Bektic,Dan Ige,-125,105,"Houston, Texas, USA", USA,Blue,False,Featherweight,3,4.15,0.49,1.0,2.73,0.34,2.88,0.42,0.4,3.38,0.53
