,Event ID,Date,Short Name,Name,Date Time,Fight Number,Fight ID,Card Segment,Referee,Result Type,Winner ID,Red Fighter Name,Blue Fighter Name,American Odd that Red Fighter Will Win,American Odd that Blue Fighter Will Win,Location,Country,Winner of the Fight,Title Bout?,Weight Class,Number of Rounds in Fight,Blue Significant Strikes Landed/min,Blue Significant Striking Accuracy,Blue Average Submissions Attempted/15min,Blue Average Takedowns Landed/15min,Blue Takedown Accuracy,Red Significant Strikes Landed/min,Red Significant Striking Accuracy,Red Average Submissions Attempted/15min,Red Average Takedowns Landed/15min,Red Takedown Accuracy
1395,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,8,1454,Prelims,Mark Smith,Scrambled,140000134.0,Alex Caceres,Chase Hooper,168,-195,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,3,5.16,0.63,3.8,0.77,0.16,3.98,0.48,0.8,0.53,0.75
1396,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,9,1437,Prelims,Herb Dean,Scrambled,140000450.0,Alex Caceres,Chase Hooper,168,-195,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,3,5.16,0.63,3.8,0.77,0.16,3.98,0.48,0.8,0.53,0.75
1397,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,10,1440,Early Prelims,Keith Peterson,Scrambled,140000222.0,Alex Caceres,Chase Hooper,168,-195,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,3,5.16,0.63,3.8,0.77,0.16,3.98,0.48,0.8,0.53,0.75
1398,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,11,1439,Early Prelims,Mark Smith,Scrambled,140000371.0,Alex Caceres,Chase Hooper,168,-195,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,3,5.16,0.63,3.8,0.77,0.16,3.98,0.48,0.8,0.53,0.75
1399,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,12,1459,Early Prelims,Chris Tognoni,Scrambled,140000526.0,Alex Caceres,Chase Hooper,168,-195,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,3,5.16,0.63,3.8,0.77,0.16,3.98,0.48,0.8,0.53,0.75
1400,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,1,1344,Main Card,Herb Dean,Scrambled,140000446.0,Ian Heinisch,Gerald Meerschaert,-130,110,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,3,3.32,0.43,1.7,2.37,0.43,3.38,0.5,0.5,1.18,0.19
1401,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,2,1441,Main Card,Keith Peterson,Scrambled,140000139.0,Ian Heinisch,Gerald Meerschaert,-130,110,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,3,3.32,0.43,1.7,2.37,0.43,3.38,0.5,0.5,1.18,0.19
1402,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,3,1458,Main Card,Chris Tognoni,Scrambled,140000086.0,Ian Heinisch,Gerald Meerschaert,-130,110,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,3,3.32,0.43,1.7,2.37,0.43,3.38,0.5,0.5,1.18,0.19
1403,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,4,1457,Main Card,Mark Smith,Scrambled,140000752.0,Ian Heinisch,Gerald Meerschaert,-130,110,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,3,3.32,0.43,1.7,2.37,0.43,3.38,0.5,0.5,1.18,0.19
1404,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,5,1456,Main Card,Herb Dean,Scrambled,140000711.0,Ian Heinisch,Gerald Meerschaert,-130,110,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,3,3.32,0.43,1.7,2.37,0.43,3.38,0.5,0.5,1.18,0.19
1405,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,6,1455,Prelims,Keith Peterson,Scrambled,140000091.0,Ian Heinisch,Gerald Meerschaert,-130,110,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,3,3.32,0.43,1.7,2.37,0.43,3.38,0.5,0.5,1.18,0.19
1406,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,7,1438,Prelims,Chris Tognoni,Scrambled,140000367.0,Ian Heinisch,Gerald Meerschaert,-130,110,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,3,3.32,0.43,1.7,2.37,0.43,3.38,0.5,0.5,1.18,0.19
1407,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,8,1454,Prelims,Mark Smith,Scrambled,140000134.0,Ian Heinisch,Gerald Meerschaert,-130,110,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,3,3.32,0.43,1.7,2.37,0.43,3.38,0.5,0.5,1.18,0.19
1408,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,9,1437,Prelims,Herb Dean,Scrambled,140000450.0,Ian Heinisch,Gerald Meerschaert,-130,110,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,3,3.32,0.43,1.7,2.37,0.43,3.38,0.5,0.5,1.18,0.19
1409,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,10,1440,Early Prelims,Keith Peterson,Scrambled,140000222.0,Ian Heinisch,Gerald Meerschaert,-130,110,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,3,3.32,0.43,1.7,2.37,0.43,3.38,0.5,0.5,1.18,0.19
1410,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,11,1439,Early Prelims,Mark Smith,Scrambled,140000371.0,Ian Heinisch,Gerald Meerschaert,-130,110,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,3,3.32,0.43,1.7,2.37,0.43,3.38,0.5,0.5,1.18,0.19
1411,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,12,1459,Early Prelims,Chris Tognoni,Scrambled,140000526.0,Ian Heinisch,Gerald Meerschaert,-130,110,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,3,3.32,0.43,1.7,2.37,0.43,3.38,0.5,0.5,1.18,0.19
1412,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,1,1344,Main Card,Herb Dean,Scrambled,140000446.0,Cody Stamann,Brian Kelleher,-250,210,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,3,4.65,0.43,0.8,1.26,0.23,4.25,0.49,0.0,3.58,0.48
1413,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,2,1441,Main Card,Keith Peterson,Scrambled,140000139.0,Cody Stamann,Brian Kelleher,-250,210,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,3,4.65,0.43,0.8,1.26,0.23,4.25,0.49,0.0,3.58,0.48
1414,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,3,1458,Main Card,Chris Tognoni,Scrambled,140000086.0,Cody Stamann,Brian Kelleher,-250,210,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,3,4.65,0.43,0.8,1.26,0.23,4.25,0.49,0.0,3.58,0.48
1415,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,4,1457,Main Card,Mark Smith,Scrambled,140000752.0,Cody Stamann,Brian Kelleher,-250,210,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,3,4.65,0.43,0.8,1.26,0.23,4.25,0.49,0.0,3.58,0.48
1416,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,5,1456,Main Card,Herb Dean,Scrambled,140000711.0,Cody Stamann,Brian Kelleher,-250,210,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,3,4.65,0.43,0.8,1.26,0.23,4.25,0.49,0.0,3.58,0.48
1417,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,6,1455,Prelims,Keith Peterson,Scrambled,140000091.0,Cody Stamann,Brian Kelleher,-250,210,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,3,4.65,0.43,0.8,1.26,0.23,4.25,0.49,0.0,3.58,0.48
1418,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,7,1438,Prelims,Chris Tognoni,Scrambled,140000367.0,Cody Stamann,Brian Kelleher,-250,210,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,3,4.65,0.43,0.8,1.26,0.23,4.25,0.49,0.0,3.58,0.48
1419,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,8,1454,Prelims,Mark Smith,Scrambled,140000134.0,Cody Stamann,Brian Kelleher,-250,210,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,3,4.65,0.43,0.8,1.26,0.23,4.25,0.49,0.0,3.58,0.48
1420,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,9,1437,Prelims,Herb Dean,Scrambled,140000450.0,Cody Stamann,Brian Kelleher,-250,210,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,3,4.65,0.43,0.8,1.26,0.23,4.25,0.49,0.0,3.58,0.48
1421,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,10,1440,Early Prelims,Keith Peterson,Scrambled,140000222.0,Cody Stamann,Brian Kelleher,-250,210,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,3,4.65,0.43,0.8,1.26,0.23,4.25,0.49,0.0,3.58,0.48
1422,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,11,1439,Early Prelims,Mark Smith,Scrambled,140000371.0,Cody Stamann,Brian Kelleher,-250,210,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,3,4.65,0.43,0.8,1.26,0.23,4.25,0.49,0.0,3.58,0.48
1423,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,12,1459,Early Prelims,Chris Tognoni,Scrambled,140000526.0,Cody Stamann,Brian Kelleher,-250,210,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,3,4.65,0.43,0.8,1.26,0.23,4.25,0.49,0.0,3.58,0.48
1424,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,1,1344,Main Card,Herb Dean,Scrambled,140000446.0,Charles Byrd,Maki Pitolo,-175,155,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,3,5.42,0.45,0.9,0.0,0.0,3.86,0.57,1.9,2.52,0.5
1425,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,2,1441,Main Card,Keith Peterson,Scrambled,140000139.0,Charles Byrd,Maki Pitolo,-175,155,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,3,5.42,0.45,0.9,0.0,0.0,3.86,0.57,1.9,2.52,0.5
1426,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,3,1458,Main Card,Chris Tognoni,Scrambled,140000086.0,Charles Byrd,Maki Pitolo,-175,155,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,3,5.42,0.45,0.9,0.0,0.0,3.86,0.57,1.9,2.52,0.5
1427,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,4,1457,Main Card,Mark Smith,Scrambled,140000752.0,Charles Byrd,Maki Pitolo,-175,155,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,3,5.42,0.45,0.9,0.0,0.0,3.86,0.57,1.9,2.52,0.5
1428,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,5,1456,Main Card,Herb Dean,Scrambled,140000711.0,Charles Byrd,Maki Pitolo,-175,155,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,3,5.42,0.45,0.9,0.0,0.0,3.86,0.57,1.9,2.52,0.5
1429,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,6,1455,Prelims,Keith Peterson,Scrambled,140000091.0,Charles Byrd,Maki Pitolo,-175,155,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,3,5.42,0.45,0.9,0.0,0.0,3.86,0.57,1.9,2.52,0.5
1430,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,7,1438,Prelims,Chris Tognoni,Scrambled,140000367.0,Charles Byrd,Maki Pitolo,-175,155,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,3,5.42,0.45,0.9,0.0,0.0,3.86,0.57,1.9,2.52,0.5
1431,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,8,1454,Prelims,Mark Smith,Scrambled,140000134.0,Charles Byrd,Maki Pitolo,-175,155,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,3,5.42,0.45,0.9,0.0,0.0,3.86,0.57,1.9,2.52,0.5
1432,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,9,1437,Prelims,Herb Dean,Scrambled,140000450.0,Charles Byrd,Maki Pitolo,-175,155,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,3,5.42,0.45,0.9,0.0,0.0,3.86,0.57,1.9,2.52,0.5
1433,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,10,1440,Early Prelims,Keith Peterson,Scrambled,140000222.0,Charles Byrd,Maki Pitolo,-175,155,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,3,5.42,0.45,0.9,0.0,0.0,3.86,0.57,1.9,2.52,0.5
1434,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,11,1439,Early Prelims,Mark Smith,Scrambled,140000371.0,Charles Byrd,Maki Pitolo,-175,155,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,3,5.42,0.45,0.9,0.0,0.0,3.86,0.57,1.9,2.52,0.5
1435,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,12,1459,Early Prelims,Chris Tognoni,Scrambled,140000526.0,Charles Byrd,Maki Pitolo,-175,155,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,3,5.42,0.45,0.9,0.0,0.0,3.86,0.57,1.9,2.52,0.5
1436,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,1,1344,Main Card,Herb Dean,Scrambled,140000446.0,Jussier Formiga,Alex Perez,115,-135,"Las Vegas, Nevada, USA",USA,Blue,False,Flyweight,3,4.48,0.47,1.5,3.27,0.5,1.35,0.39,0.6,1.87,0.35
1437,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,2,1441,Main Card,Keith Peterson,Scrambled,140000139.0,Jussier Formiga,Alex Perez,115,-135,"Las Vegas, Nevada, USA",USA,Blue,False,Flyweight,3,4.48,0.47,1.5,3.27,0.5,1.35,0.39,0.6,1.87,0.35
1438,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,3,1458,Main Card,Chris Tognoni,Scrambled,140000086.0,Jussier Formiga,Alex Perez,115,-135,"Las Vegas, Nevada, USA",USA,Blue,False,Flyweight,3,4.48,0.47,1.5,3.27,0.5,1.35,0.39,0.6,1.87,0.35
1439,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,4,1457,Main Card,Mark Smith,Scrambled,140000752.0,Jussier Formiga,Alex Perez,115,-135,"Las Vegas, Nevada, USA",USA,Blue,False,Flyweight,3,4.48,0.47,1.5,3.27,0.5,1.35,0.39,0.6,1.87,0.35
1440,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,5,1456,Main Card,Herb Dean,Scrambled,140000711.0,Jussier Formiga,Alex Perez,115,-135,"Las Vegas, Nevada, USA",USA,Blue,False,Flyweight,3,4.48,0.47,1.5,3.27,0.5,1.35,0.39,0.6,1.87,0.35
1441,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,6,1455,Prelims,Keith Peterson,Scrambled,140000091.0,Jussier Formiga,Alex Perez,115,-135,"Las Vegas, Nevada, USA",USA,Blue,False,Flyweight,3,4.48,0.47,1.5,3.27,0.5,1.35,0.39,0.6,1.87,0.35
1442,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,7,1438,Prelims,Chris Tognoni,Scrambled,140000367.0,Jussier Formiga,Alex Perez,115,-135,"Las Vegas, Nevada, USA",USA,Blue,False,Flyweight,3,4.48,0.47,1.5,3.27,0.5,1.35,0.39,0.6,1.87,0.35
1443,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,8,1454,Prelims,Mark Smith,Scrambled,140000134.0,Jussier Formiga,Alex Perez,115,-135,"Las Vegas, Nevada, USA",USA,Blue,False,Flyweight,3,4.48,0.47,1.5,3.27,0.5,1.35,0.39,0.6,1.87,0.35
1444,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,9,1437,Prelims,Herb Dean,Scrambled,140000450.0,Jussier Formiga,Alex Perez,115,-135,"Las Vegas, Nevada, USA",USA,Blue,False,Flyweight,3,4.48,0.47,1.5,3.27,0.5,1.35,0.39,0.6,1.87,0.35
1445,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,10,1440,Early Prelims,Keith Peterson,Scrambled,140000222.0,Jussier Formiga,Alex Perez,115,-135,"Las Vegas, Nevada, USA",USA,Blue,False,Flyweight,3,4.48,0.47,1.5,3.27,0.5,1.35,0.39,0.6,1.87,0.35
1446,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,11,1439,Early Prelims,Mark Smith,Scrambled,140000371.0,Jussier Formiga,Alex Perez,115,-135,"Las Vegas, Nevada, USA",USA,Blue,False,Flyweight,3,4.48,0.47,1.5,3.27,0.5,1.35,0.39,0.6,1.87,0.35
1447,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,12,1459,Early Prelims,Chris Tognoni,Scrambled,140000526.0,Jussier Formiga,Alex Perez,115,-135,"Las Vegas, Nevada, USA",USA,Blue,False,Flyweight,3,4.48,0.47,1.5,3.27,0.5,1.35,0.39,0.6,1.87,0.35
1448,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,1,1344,Main Card,Herb Dean,Scrambled,140000446.0,Alonzo Menifield,Devin Clark,-225,185,"Las Vegas, Nevada, USA",USA,Blue,False,Light Heavyweight,3,3.12,0.55,0.1,3.03,0.42,5.07,0.48,0.0,0.0,0.0
1449,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,2,1441,Main Card,Keith Peterson,Scrambled,140000139.0,Alonzo Menifield,Devin Clark,-225,185,"Las Vegas, Nevada, USA",USA,Blue,False,Light Heavyweight,3,3.12,0.55,0.1,3.03,0.42,5.07,0.48,0.0,0.0,0.0
1450,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,3,1458,Main Card,Chris Tognoni,Scrambled,140000086.0,Alonzo Menifield,Devin Clark,-225,185,"Las Vegas, Nevada, USA",USA,Blue,False,Light Heavyweight,3,3.12,0.55,0.1,3.03,0.42,5.07,0.48,0.0,0.0,0.0
1451,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,4,1457,Main Card,Mark Smith,Scrambled,140000752.0,Alonzo Menifield,Devin Clark,-225,185,"Las Vegas, Nevada, USA",USA,Blue,False,Light Heavyweight,3,3.12,0.55,0.1,3.03,0.42,5.07,0.48,0.0,0.0,0.0
1452,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,5,1456,Main Card,Herb Dean,Scrambled,140000711.0,Alonzo Menifield,Devin Clark,-225,185,"Las Vegas, Nevada, USA",USA,Blue,False,Light Heavyweight,3,3.12,0.55,0.1,3.03,0.42,5.07,0.48,0.0,0.0,0.0
1453,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,6,1455,Prelims,Keith Peterson,Scrambled,140000091.0,Alonzo Menifield,Devin Clark,-225,185,"Las Vegas, Nevada, USA",USA,Blue,False,Light Heavyweight,3,3.12,0.55,0.1,3.03,0.42,5.07,0.48,0.0,0.0,0.0
1454,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,7,1438,Prelims,Chris Tognoni,Scrambled,140000367.0,Alonzo Menifield,Devin Clark,-225,185,"Las Vegas, Nevada, USA",USA,Blue,False,Light Heavyweight,3,3.12,0.55,0.1,3.03,0.42,5.07,0.48,0.0,0.0,0.0
1455,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,8,1454,Prelims,Mark Smith,Scrambled,140000134.0,Alonzo Menifield,Devin Clark,-225,185,"Las Vegas, Nevada, USA",USA,Blue,False,Light Heavyweight,3,3.12,0.55,0.1,3.03,0.42,5.07,0.48,0.0,0.0,0.0
1456,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,9,1437,Prelims,Herb Dean,Scrambled,140000450.0,Alonzo Menifield,Devin Clark,-225,185,"Las Vegas, Nevada, USA",USA,Blue,False,Light Heavyweight,3,3.12,0.55,0.1,3.03,0.42,5.07,0.48,0.0,0.0,0.0
1457,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,10,1440,Early Prelims,Keith Peterson,Scrambled,140000222.0,Alonzo Menifield,Devin Clark,-225,185,"Las Vegas, Nevada, USA",USA,Blue,False,Light Heavyweight,3,3.12,0.55,0.1,3.03,0.42,5.07,0.48,0.0,0.0,0.0
1458,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,11,1439,Early Prelims,Mark Smith,Scrambled,140000371.0,Alonzo Menifield,Devin Clark,-225,185,"Las Vegas, Nevada, USA",USA,Blue,False,Light Heavyweight,3,3.12,0.55,0.1,3.03,0.42,5.07,0.48,0.0,0.0,0.0
1459,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,12,1459,Early Prelims,Chris Tognoni,Scrambled,140000526.0,Alonzo Menifield,Devin Clark,-225,185,"Las Vegas, Nevada, USA",USA,Blue,False,Light Heavyweight,3,3.12,0.55,0.1,3.03,0.42,5.07,0.48,0.0,0.0,0.0
1460,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,1,1344,Main Card,Herb Dean,Scrambled,140000446.0,Evan Dunham,Herbert Burns,185,-225,"Las Vegas, Nevada, USA",USA,Blue,False,Catch Weight,3,2.31,0.42,5.8,2.88,1.0,5.35,0.39,1.0,1.83,0.33
1461,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,2,1441,Main Card,Keith Peterson,Scrambled,140000139.0,Evan Dunham,Herbert Burns,185,-225,"Las Vegas, Nevada, USA",USA,Blue,False,Catch Weight,3,2.31,0.42,5.8,2.88,1.0,5.35,0.39,1.0,1.83,0.33
1462,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,3,1458,Main Card,Chris Tognoni,Scrambled,140000086.0,Evan Dunham,Herbert Burns,185,-225,"Las Vegas, Nevada, USA",USA,Blue,False,Catch Weight,3,2.31,0.42,5.8,2.88,1.0,5.35,0.39,1.0,1.83,0.33
1463,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,4,1457,Main Card,Mark Smith,Scrambled,140000752.0,Evan Dunham,Herbert Burns,185,-225,"Las Vegas, Nevada, USA",USA,Blue,False,Catch Weight,3,2.31,0.42,5.8,2.88,1.0,5.35,0.39,1.0,1.83,0.33
1464,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,5,1456,Main Card,Herb Dean,Scrambled,140000711.0,Evan Dunham,Herbert Burns,185,-225,"Las Vegas, Nevada, USA",USA,Blue,False,Catch Weight,3,2.31,0.42,5.8,2.88,1.0,5.35,0.39,1.0,1.83,0.33
1465,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,6,1455,Prelims,Keith Peterson,Scrambled,140000091.0,Evan Dunham,Herbert Burns,185,-225,"Las Vegas, Nevada, USA",USA,Blue,False,Catch Weight,3,2.31,0.42,5.8,2.88,1.0,5.35,0.39,1.0,1.83,0.33
1466,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,7,1438,Prelims,Chris Tognoni,Scrambled,140000367.0,Evan Dunham,Herbert Burns,185,-225,"Las Vegas, Nevada, USA",USA,Blue,False,Catch Weight,3,2.31,0.42,5.8,2.88,1.0,5.35,0.39,1.0,1.83,0.33
1467,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,8,1454,Prelims,Mark Smith,Scrambled,140000134.0,Evan Dunham,Herbert Burns,185,-225,"Las Vegas, Nevada, USA",USA,Blue,False,Catch Weight,3,2.31,0.42,5.8,2.88,1.0,5.35,0.39,1.0,1.83,0.33
1468,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,9,1437,Prelims,Herb Dean,Scrambled,140000450.0,Evan Dunham,Herbert Burns,185,-225,"Las Vegas, Nevada, USA",USA,Blue,False,Catch Weight,3,2.31,0.42,5.8,2.88,1.0,5.35,0.39,1.0,1.83,0.33
1469,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,10,1440,Early Prelims,Keith Peterson,Scrambled,140000222.0,Evan Dunham,Herbert Burns,185,-225,"Las Vegas, Nevada, USA",USA,Blue,False,Catch Weight,3,2.31,0.42,5.8,2.88,1.0,5.35,0.39,1.0,1.83,0.33
1470,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,11,1439,Early Prelims,Mark Smith,Scrambled,140000371.0,Evan Dunham,Herbert Burns,185,-225,"Las Vegas, Nevada, USA",USA,Blue,False,Catch Weight,3,2.31,0.42,5.8,2.88,1.0,5.35,0.39,1.0,1.83,0.33
1471,119,2020-06-06,UFC 250,UFC 250: Nunes vs. Spencer,2020-06-06T18:00:00,12,1459,Early Prelims,Chris Tognoni,Scrambled,140000526.0,Evan Dunham,Herbert Burns,185,-225,"Las Vegas, Nevada, USA",USA,Blue,False,Catch Weight,3,2.31,0.42,5.8,2.88,1.0,5.35,0.39,1.0,1.83,0.33
1472,129,2020-06-13,UFC Fight Night,UFC Fight Night: Eye vs. Calvillo,2020-06-13T19:00:00,1,1461,Main Card,Herb Dean,Scrambled,140000094.0,Jessica Eye,Cynthia Calvillo,120,-130,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Flyweight,5,4.12,0.43,1.6,1.83,0.43,3.79,0.38,0.7,0.46,0.45
