,W/L,FIGHTER,KD,STR,TD,SUB,WEIGHT CLASS,METHOD,ROUND,TIME,,SUM  Pre COVID,,SUM During COVID,
Pre_COVID,WIN,Thiago Moises,0,1,0,1,Lightweight,SUB,2,0:25,,,,,
Pre_COVID,,Michael Johnson,0,27,0,0,,Ankle Lock,,,,,,,
Pre_COVID,WIN,Sijara Eubanks,0,85,2,0,Women's Bantamweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Sarah Moras,0,44,0,0,,,,,,,,,
Pre_COVID,WIN,Omar Morales,0,63,0,0,Lightweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Gabriel Benitez,0,50,0,0,,,,,,,,,
Pre_COVID,WIN,Brian Kelleher,1,29,0,0,Featherweight,KO/TKO,2,3:40,,,,,
Pre_COVID,,Hunter Azure,0,62,0,0,,Punch,,,,,,,
Pre_COVID,WIN,Chase Sherman,1,51,0,0,Heavyweight,KO/TKO,2,0:49,,,,,
Pre_COVID,,Ike Villanueva,0,16,0,0,,Elbow,,,,,,,
Pre_COVID,WIN,Alistair Overeem,1,68,1,0,Heavyweight,KO/TKO,2,3:00,,,,,
Pre_COVID,,Walt Harris,1,25,0,0,,Punches,,,,,,,
Pre_COVID,WIN,Claudia Gadelha,0,84,1,0,Women's Strawweight,S-DEC,3,5:00,,,,,
Pre_COVID,,Angela Hill,1,90,0,0,,,,,,,,,
Pre_COVID,WIN,Dan Ige,0,79,1,0,Featherweight,S-DEC,3,5:00,,,,,
Pre_COVID,,Edson Barboza,1,80,0,0,,,,,,,,,
Pre_COVID,WIN,Krzysztof Jotko,0,66,0,0,Middleweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Eryk Anders,0,41,0,0,,,,,,,,,
Pre_COVID,WIN,Song Yadong,0,101,0,0,Featherweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Marlon Vera,0,92,2,0,,,,,,,,,
Pre_COVID,WIN,Miguel Baeza,2,37,0,0,Welterweight,KO/TKO,2,0:18,,,,,
Pre_COVID,,Matt Brown,0,33,0,0,,Punch,,,,,,,
Pre_COVID,WIN,Kevin Holland,1,14,0,0,Middleweight,KO/TKO,1,0:39,,,,,
Pre_COVID,,Anthony Hernandez,0,0,0,0,,Knees,,,,,,,
Pre_COVID,WIN,Giga Chikadze,1,61,1,0,Featherweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Irwin Rivera,0,34,0,0,,,,,,,,,
Pre_COVID,WIN,Nate Landwehr,0,118,0,0,Featherweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Darren Elkins,0,121,1,0,,,,,,,,,
Pre_COVID,WIN,Cortney Casey,0,6,0,2,Women's Flyweight,SUB,1,3:36,,,,,
Pre_COVID,,Mara Romero Borella,0,5,1,0,,Armbar,,,,,,,
Pre_COVID,WIN,Rodrigo Nascimento,0,32,2,1,Heavyweight,SUB,2,2:05,,,,,
Pre_COVID,,Don'Tale Mayes,0,27,0,0,,Rear Naked Choke,,,,,,,
Pre_COVID,WIN,Gilbert Burns,0,83,2,1,Welterweight,U-DEC,5,5:00,,,,,
Pre_COVID,,Tyron Woodley,0,28,0,0,,,,,,,,,
Pre_COVID,WIN,Augusto Sakai,0,78,0,0,Heavyweight,S-DEC,3,5:00,,,,,
Pre_COVID,,Blagoy Ivanov,0,66,1,0,,,,,,,,,
Pre_COVID,WIN,Billy Quarantillo,0,49,2,2,Catch Weight,U-DEC,3,5:00,,,,,
Pre_COVID,,Spike Carlyle,0,37,3,0,,,,,,,,,
Pre_COVID,WIN,Roosevelt Roberts,0,40,1,3,Lightweight,SUB,2,3:26,,,,,
Pre_COVID,,Brok Weaver,0,14,0,0,,Rear Naked Choke,,,,,,,
Pre_COVID,WIN,Mackenzie Dern,0,5,0,1,Women's Strawweight,SUB,1,2:36,,,,,
Pre_COVID,,Hannah Cifers,0,7,0,0,,Kneebar,,,,,,,
Pre_COVID,WIN,Katlyn Chookagian,0,73,3,4,Women's Flyweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Antonina Shevchenko,0,25,0,0,,,,,,,,,
Pre_COVID,WIN,Daniel Rodriguez,0,175,1,0,Welterweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Gabe Green,0,127,0,0,,,,,,,,,
Pre_COVID,WIN,Jamahal Hill,2,14,0,0,Light Heavyweight,KO/TKO,1,1:51,,,,,
Pre_COVID,,Klidson Abreu,0,5,0,0,,Knee,,,,,,,
Pre_COVID,WIN,Brandon Royval,0,16,1,2,Flyweight,SUB,2,3:18,,,,,
Pre_COVID,,Tim Elliott,0,17,4,0,,Arm Triangle,,,,,,,
Pre_COVID,WIN,Casey Kenney,0,32,0,1,Bantamweight,SUB,1,3:03,,,,,
Pre_COVID,,Louis Smolka,0,18,0,0,,Guillotine Choke,,,,,,,
Pre_COVID,WIN,Chris Gutierrez,2,60,0,0,Featherweight,KO/TKO,2,4:27,,,,,
Pre_COVID,,Vince Morales,0,8,0,0,,Kick,,,,,,,
Pre_COVID,WIN,Amanda Nunes,0,124,6,1,Women's Featherweight,U-DEC,5,5:00,,,,,
Pre_COVID,,Felicia Spencer,0,42,0,0,,,,,,,,,
Pre_COVID,WIN,Cody Garbrandt,1,19,0,0,Bantamweight,KO/TKO,2,4:59,,,,,
Pre_COVID,,Raphael Assuncao,0,17,0,0,,Punch,,,,,,,
Pre_COVID,WIN,Aljamain Sterling,0,2,0,2,Bantamweight,SUB,1,1:28,,,,,
Pre_COVID,,Cory Sandhagen,0,1,0,0,,Rear Naked Choke,,,,,,,
Pre_COVID,WIN,Neil Magny,0,64,0,0,Welterweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Anthony Rocco Martin,0,37,1,0,,,,,,,,,
Pre_COVID,WIN,Sean O'Malley,1,13,0,0,Bantamweight,KO/TKO,1,1:54,,,,,
Pre_COVID,,Eddie Wineland,0,4,0,0,,Punch,,,,,,,
Pre_COVID,WIN,Alex Caceres,1,103,1,0,Featherweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Chase Hooper,0,53,0,0,,,,,,,,,
Pre_COVID,WIN,Ian Heinisch,1,20,0,0,Middleweight,KO/TKO,1,1:14,,,,,
Pre_COVID,,Gerald Meerschaert,0,3,0,0,,Punch,,,,,,,
Pre_COVID,WIN,Cody Stamann,0,89,2,0,Featherweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Brian Kelleher,0,57,1,0,,,,,,,,,
Pre_COVID,WIN,Maki Pitolo,0,29,3,0,Middleweight,KO/TKO,2,1:10,,,,,
Pre_COVID,,Charles Byrd,0,11,1,0,,Punches,,,,,,,
Pre_COVID,WIN,Alex Perez,2,29,0,0,Flyweight,KO/TKO,1,4:06,,,,,
Pre_COVID,,Jussier Formiga,0,18,0,0,,Kick,,,,,,,
Pre_COVID,WIN,Devin Clark,0,79,1,0,Light Heavyweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Alonzo Menifield,0,39,0,0,,,,,,,,,
Pre_COVID,WIN,Herbert Burns,0,5,1,1,Catch Weight,SUB,1,1:20,,,,,
Pre_COVID,,Evan Dunham,0,3,0,0,,Rear Naked Choke,,,,,,,
Pre_COVID,WIN,Cynthia Calvillo,0,113,4,0,Women's Flyweight,U-DEC,5,5:00,,,,,
Pre_COVID,,Jessica Eye,0,70,0,0,,,,,,,,,
Pre_COVID,WIN,Marvin Vettori,0,45,2,2,Middleweight,SUB,1,4:17,,,,,
Pre_COVID,,Karl Roberson,0,4,0,0,,Rear Naked Choke,,,,,,,
Pre_COVID,WIN,Charles Rosa,0,69,0,0,Lightweight,S-DEC,3,5:00,,,,,
Pre_COVID,,Kevin Aguilar,0,53,0,0,,,,,,,,,
Pre_COVID,WIN,Andre Fili,0,44,5,0,Featherweight,S-DEC,3,5:00,,,,,
Pre_COVID,,Charles Jourdain,1,62,0,0,,,,,,,,,
Pre_COVID,WIN,Jordan Espinosa,0,126,2,0,Bantamweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Mark De La Rosa,0,37,0,0,,,,,,,,,
Pre_COVID,WIN,Mariya Agapova,1,29,0,1,Women's Flyweight,SUB,1,2:42,,,,,
Pre_COVID,,Hannah Cifers,0,11,0,0,,Rear Naked Choke,,,,,,,
Pre_COVID,WIN,Merab Dvalishvili,0,73,13,2,Catch Weight,U-DEC,3,5:00,,,,,
Pre_COVID,,Gustavo Lopez,0,14,0,0,,,,,,,,,
Pre_COVID,WIN,Julia Avila,0,11,0,0,Women's Bantamweight,KO/TKO,1,0:22,,,,,
Pre_COVID,,Gina Mazany,0,2,0,0,,Punches,,,,,,,
Pre_COVID,WIN,Tyson Nam,1,2,0,0,Bantamweight,KO/TKO,1,0:32,,,,,
Pre_COVID,,Zarrukh Adashev,0,2,0,0,,Punch,,,,,,,
Pre_COVID,WIN,Christian Aguilera,0,10,0,0,Welterweight,KO/TKO,1,0:59,,,,,
Pre_COVID,,Anthony Ivy,0,4,0,0,,Punches,,,,,,,
Pre_COVID,WIN,Curtis Blaydes,0,69,14,0,Heavyweight,U-DEC,5,5:00,,,,,
Pre_COVID,,Alexander Volkov,0,31,1,0,,,,,,,,,
Pre_COVID,WIN,Josh Emmett,2,127,1,0,Featherweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Shane Burgos,0,128,0,0,,,,,,,,,
Pre_COVID,WIN,Raquel Pennington,0,107,1,0,Women's Bantamweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Marion Reneau,0,46,2,0,,,,,,,,,
Pre_COVID,WIN,Belal Muhammad,0,82,2,0,Welterweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Lyman Good,0,81,0,0,,,,,,,,,
Pre_COVID,WIN,Jim Miller,0,2,0,1,Catch Weight,SUB,1,2:25,,,,,
Pre_COVID,,Roosevelt Roberts,0,1,0,0,,Armbar,,,,,,,
Pre_COVID,WIN,Bobby Green,0,85,2,2,Lightweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Clay Guida,0,23,3,0,,,,,,,,,
Pre_COVID,WIN,Tecia Torres,0,74,0,0,Women's Strawweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Brianna Van Buren,0,34,2,0,,,,,,,,,
Pre_COVID,WIN,Marc-Andre Barriault,1,74,1,0,Middleweight,KO/TKO,2,4:50,,,,,
Pre_COVID,,Oskar Piechota,0,37,0,0,,Punches,,,,,,,
Pre_COVID,WIN,Gillian Robertson,0,21,3,1,Women's Flyweight,SUB,3,4:36,,,,,
Pre_COVID,,Cortney Casey,0,22,0,0,,Rear Naked Choke,,,,,,,
Pre_COVID,WIN,Justin Jaynes,1,16,0,0,Lightweight,KO/TKO,1,0:41,,,,,
Pre_COVID,,Frank Camacho,0,4,0,0,,Punches,,,,,,,
Pre_COVID,WIN,Lauren Murphy,0,72,2,0,Women's Flyweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Roxanne Modafferi,0,44,0,0,,,,,,,,,
Pre_COVID,WIN,Austin Hubbard,0,58,0,0,Lightweight,KO/TKO,2,5:00,,,,,
Pre_COVID,,Max Rohskopf,0,17,2,1,,,,,,,,,
Pre_COVID,WIN,Dustin Poirier,0,153,1,4,Lightweight,U-DEC,5,5:00,,,,,
Pre_COVID,,Dan Hooker,0,155,4,0,,,,,,,,,
Pre_COVID,WIN,Mike Perry,1,76,1,0,Welterweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Mickey Gall,0,55,0,0,,,,,,,,,
Pre_COVID,WIN,Maurice Greene,0,63,0,1,Heavyweight,SUB,3,3:44,,,,,
Pre_COVID,,Gian Villante,1,72,0,0,,Arm Triangle,,,,,,,
Pre_COVID,WIN,Brendan Allen,1,41,0,0,Middleweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Kyle Daukaus,0,34,3,0,,,,,,,,,
Pre_COVID,WIN,Takashi Sato,1,18,0,0,Welterweight,KO/TKO,1,0:48,,,,,
Pre_COVID,,Jason Witt,0,2,0,0,,Punches,,,,,,,
Pre_COVID,WIN,Julian Erosa,0,103,3,1,Catch Weight,SUB,3,2:44,,,,,
Pre_COVID,,Sean Woodson,1,106,0,0,,D'Arce Choke,,,,,,,
Pre_COVID,WIN,Khama Worthy,0,55,0,1,Lightweight,SUB,3,2:53,,,,,
Pre_COVID,,Luis Pena,0,38,3,3,,Guillotine Choke,,,,,,,
Pre_COVID,WIN,Tanner Boser,1,15,0,0,Heavyweight,KO/TKO,1,2:41,,,,,
Pre_COVID,,Philipe Lins,0,6,0,0,,Punches,,,,,,,
Pre_COVID,WIN,Kay Hansen,0,31,2,1,Women's Strawweight,SUB,3,2:26,,,,,
Pre_COVID,,Jinh Yu Frey,0,26,0,0,,Armbar,,,,,,,
Pre_COVID,WIN,Youssef Zalal,0,59,0,0,Featherweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Jordan Griffin,0,28,2,0,,,,,,,,,
,W/L,FIGHTER,KD,STR,TD,SUB,WEIGHT CLASS,METHOD,ROUND,TIME,,,,,
During_COVID,WIN,Kamaru Usman,0,94,5,0,Welterweight,U-DEC,5,5:00,,,,,
During_COVID,,Jorge Masvidal,0,66,0,0,,,,,,,,,
During_COVID,WIN,Alexander Volkanovski,0,137,3,0,Featherweight,S-DEC,5,5:00,,0,,,
During_COVID,,Max Holloway,0,102,0,0,,,,,,,,,
During_COVID,WIN,Petr Yan,1,194,1,0,Bantamweight,KO/TKO,5,3:24,,,,,
During_COVID,,Jose Aldo,0,83,0,0,,Punches,,,,,,,
During_COVID,WIN,Rose Namajunas,0,82,0,0,Women's Strawweight,S-DEC,3,5:00,,,,,
During_COVID,,Jessica Andrade,0,71,1,0,,,,,,,,,
During_COVID,WIN,Amanda Ribas,0,6,1,1,Women's Flyweight,SUB,1,2:21,,,,,
During_COVID,,Paige VanZant,0,3,0,0,,Armbar,,,,,,,
During_COVID,WIN,Jiri Prochazka,1,33,0,0,Light Heavyweight,KO/TKO,2,0:49,,,,,
During_COVID,,Volkan Oezdemir,0,41,0,0,,Punch,,,,,,,
During_COVID,WIN,Muslim Salikhov,0,40,0,0,Welterweight,S-DEC,3,5:00,,,,,
During_COVID,,Elizeu Zaleski dos Santos,0,46,0,0,,,,,,,,,
During_COVID,WIN,Makwan Amirkhani,0,2,1,1,Featherweight,SUB,1,3:15,,,,,
During_COVID,,Danny Henry,0,6,0,0,,Anaconda Choke,,,,,,,
During_COVID,WIN,Leonardo Santos,0,66,1,0,Lightweight,U-DEC,3,5:00,,,,,
During_COVID,,Roman Bogatov,0,50,1,0,,,,,,,,,
During_COVID,WIN,Marcin Tybura,0,24,3,0,Heavyweight,U-DEC,3,5:00,,,,,
During_COVID,,Maxim Grishin,0,18,0,0,,,,,,,,,
During_COVID,WIN,Raulian Paiva,0,52,0,0,Flyweight,U-DEC,3,5:00,,,,,
During_COVID,,Zhalgas Zhumagulov,0,66,2,0,,,,,,,,,
During_COVID,WIN,Karol Rosa,0,120,2,0,Women's Bantamweight,U-DEC,3,5:00,,,,,
During_COVID,,Vanessa Melo,0,45,0,0,,,,,,,,,
During_COVID,WIN,Davey Grant,1,74,2,1,Bantamweight,KO/TKO,3,2:38,,,,,
During_COVID,,Martin Day,1,62,0,0,,Punch,,,,,,,
During_COVID,WIN,Calvin Kattar,0,105,1,0,Featherweight,U-DEC,5,5:00,,,,,
During_COVID,,Dan Ige,0,84,0,0,,,,,,,,,
During_COVID,WIN,Tim Elliott,0,67,1,2,Flyweight,U-DEC,3,5:00,,,,,
During_COVID,,Ryan Benoit,0,55,1,2,,,,,,,,,
During_COVID,WIN,Jimmie Rivera,0,48,2,1,Featherweight,U-DEC,3,5:00,,,,,
During_COVID,,Cody Stamann,0,26,1,0,,,,,,,,,
During_COVID,WIN,Taila Santos,0,57,5,1,Women's Flyweight,U-DEC,3,5:00,,,,,
During_COVID,,Molly McCann,0,48,0,0,,,,,,,,,
During_COVID,WIN,Mounir Lazzez,0,98,4,0,Welterweight,U-DEC,3,5:00,,,,,
During_COVID,,Abdul Razak Alhassan,0,67,1,0,,,,,,,,,
During_COVID,WIN,Khamzat Chimaev,0,43,2,1,Middleweight,SUB,2,1:12,,,,,
During_COVID,,John Phillips,0,1,0,0,,D'Arce Choke,,,,,,,
During_COVID,WIN,Lerone Murphy,0,22,1,0,Featherweight,KO/TKO,1,4:18,,,,,
During_COVID,,Ricardo Ramos,0,10,0,0,,Punches,,,,,,,
During_COVID,WIN,Modestas Bukauskas,0,18,0,0,Light Heavyweight,KO/TKO,1,5:00,,,,,
During_COVID,,Andreas Michailidis,0,23,0,0,,,,,,,,,
During_COVID,WIN,Jared Gordon,0,44,3,0,Featherweight,U-DEC,3,5:00,,,,,
During_COVID,,Chris Fishgold,0,20,0,1,,,,,,,,,
During_COVID,WIN,Liana Jojua,0,2,0,3,Women's Flyweight,SUB,1,2:43,,,,,
During_COVID,,Diana Belbita,0,5,1,0,,Armbar,,,,,,,
During_COVID,WIN,Jack Shore,0,29,3,1,Bantamweight,SUB,2,2:29,,,,,
During_COVID,,Aaron Phillips,0,6,0,0,,Rear Naked Choke,,,,,,,
During_COVID,WIN,Deiveson Figueiredo,2,35,0,4,Flyweight,SUB,1,4:48,,,,,
During_COVID,,Joseph Benavidez,0,18,0,0,,Rear Naked Choke,,,,,,,
During_COVID,WIN,Jack Hermansson,0,2,0,1,Middleweight,SUB,1,1:18,,,,,
During_COVID,,Kelvin Gastelum,0,0,1,0,,Heel Hook,,,,,,,
During_COVID,WIN,Rafael Fiziev,0,78,1,0,Lightweight,U-DEC,3,5:00,,,,,
During_COVID,,Marc Diakiese,0,68,0,0,,,,,,,,,
During_COVID,WIN,Ariane Lipski,0,3,0,1,Women's Flyweight,SUB,1,1:28,,,,,
During_COVID,,Luana Carolina,0,2,0,1,,Kneebar,,,,,,,
During_COVID,WIN,Askar Askarov,0,41,2,0,Flyweight,U-DEC,3,5:00,,,,,
During_COVID,,Alexandre Pantoja,0,32,1,0,,,,,,,,,
During_COVID,WIN,Roman Dolidze,1,19,0,0,Light Heavyweight,KO/TKO,1,4:15,,,,,
During_COVID,,Khadis Ibragimov,0,4,0,0,,Kick,,,,,,,
During_COVID,WIN,Grant Dawson,0,53,2,1,Catch Weight,U-DEC,3,5:00,,,,,
During_COVID,,Nad Narimani,0,31,0,0,,,,,,,,,
During_COVID,WIN,Joel Alvarez,0,18,0,1,Lightweight,SUB,1,2:25,,,,,
During_COVID,,Joe Duffy,0,14,1,0,,Guillotine Choke,,,,,,,
During_COVID,WIN,Brett Johns,0,11,8,1,Bantamweight,U-DEC,3,5:00,,,,,
During_COVID,,Montel Jackson,1,26,2,0,,,,,,,,,
During_COVID,WIN,Amir Albazi,0,12,1,1,Bantamweight,SUB,1,4:42,,,,,
During_COVID,,Malcolm Gordon,0,3,0,0,,Triangle Choke,,,,,,,
During_COVID,WIN,Arman Tsarukyan,0,91,1,0,Lightweight,U-DEC,3,5:00,,,,,
During_COVID,,Davi Ramos,0,33,0,0,,,,,,,,,
During_COVID,WIN,Serghei Spivac,0,73,3,0,Heavyweight,M-DEC,3,5:00,,,,,
During_COVID,,Carlos Felipe,0,44,0,0,,,,,,,,,
During_COVID,WIN,Robert Whittaker,1,69,2,0,Middleweight,U-DEC,5,5:00,,,,,
During_COVID,,Darren Till,0,41,0,0,,,,,,,,,
During_COVID,WIN,Mauricio Rua,0,54,2,0,Light Heavyweight,S-DEC,3,5:00,,,,,
During_COVID,,Rogerio Nogueira,0,46,0,0,,,,,,,,,
During_COVID,WIN,Fabricio Werdum,0,4,1,1,Heavyweight,SUB,1,2:30,,,,,
During_COVID,,Alexander Gustafsson,0,11,0,0,,Armbar,,,,,,,
During_COVID,WIN,Carla Esparza,0,33,5,1,Women's Strawweight,S-DEC,3,5:00,,,,,
During_COVID,,Marina Rodriguez,0,40,0,0,,,,,,,,,
During_COVID,WIN,Paul Craig,0,2,0,1,Light Heavyweight,SUB,1,2:06,,,,,
During_COVID,,Gadzhimurad Antigulov,0,11,1,0,,Triangle Choke,,,,,,,
During_COVID,WIN,Alex Oliveira,1,45,0,0,Welterweight,U-DEC,3,5:00,,,,,
During_COVID,,Peter Sobotta,0,29,0,0,,,,,,,,,
During_COVID,WIN,Khamzat Chimaev,0,40,1,1,Welterweight,KO/TKO,1,3:09,,,,,
During_COVID,,Rhys McKee,0,0,0,0,,Punches,,,,,,,
During_COVID,WIN,Francisco Trinaldo,1,30,2,2,Lightweight,KO/TKO,3,1:30,,,,,
During_COVID,,Jai Herbert,1,21,0,0,,Punch,,,,,,,
During_COVID,NC,Nicolas Dalby,0,20,0,0,Welterweight,Overturned,1,2:48,,,,,
During_COVID,NC,Jesse Ronson,1,30,0,1,,Rear Naked Choke,,,,,,,
During_COVID,WIN,Tom Aspinall,1,10,0,0,Heavyweight,KO/TKO,1,0:45,,,,,
During_COVID,,Jake Collier,0,3,0,0,,Punches,,,,,,,
During_COVID,WIN,Movsar Evloev,0,79,0,0,Featherweight,U-DEC,3,5:00,,,,,
During_COVID,,Mike Grundy,0,20,6,1,,,,,,,,,
During_COVID,WIN,Tanner Boser,0,43,0,0,Heavyweight,KO/TKO,2,2:36,,,,,
During_COVID,,Raphael Pessoa,0,12,0,0,,Punch,,,,,,,
During_COVID,WIN,Pannie Kianzad,0,103,0,0,Women's Bantamweight,U-DEC,3,5:00,,,,,
During_COVID,,Bethe Correia,0,56,1,0,,,,,,,,,
During_COVID,WIN,Ramazan Emeev,0,29,4,2,Welterweight,U-DEC,3,5:00,,,,,
During_COVID,,Niklas Stolze,0,30,1,0,,,,,,,,,
During_COVID,WIN,Nathaniel Wood,0,131,1,0,Bantamweight,U-DEC,3,5:00,,,,,
During_COVID,,John Castaneda,0,55,0,0,,,,,,,,,
During_COVID,WIN,Derek Brunson,0,88,4,0,Middleweight,KO/TKO,3,0:26,,,,,
During_COVID,,Edmen Shahbazyan,0,35,0,0,,Punches,,,,,,,
During_COVID,WIN,Jennifer Maia,0,20,0,1,Women's Flyweight,SUB,1,4:29,,,,,
During_COVID,,Joanne Calderwood,0,26,1,0,,Armbar,,,,,,,
During_COVID,WIN,Vicente Luque,2,64,0,0,Welterweight,KO/TKO,2,4:56,,,,,
During_COVID,,Randy Brown,0,61,1,0,,Knee,,,,,,,
During_COVID,WIN,Bobby Green,1,115,3,0,Lightweight,U-DEC,3,5:00,,,,,
During_COVID,,Lando Vannata,0,54,1,0,,,,,,,,,
During_COVID,WIN,Jonathan Martinez,3,79,1,0,Bantamweight,KO/TKO,3,0:57,,,,,
During_COVID,,Frankie Saenz,0,39,1,0,,Knee,,,,,,,
During_COVID,WIN,Nate Maness,0,21,1,0,Featherweight,U-DEC,3,5:00,,,,,
During_COVID,,Johnny Munoz,0,49,2,1,,,,,,,,,
During_COVID,WIN,Jamall Emmers,0,103,5,0,Featherweight,U-DEC,3,5:00,,,,,
During_COVID,,Vince Cachero,0,76,0,0,,,,,,,,,
During_COVID,DRAW,Chris Gutierrez,0,66,1,1,Bantamweight,U-DEC,3,5:00,,,,,
During_COVID,DRAW,Cody Durden,0,36,2,1,,,,,,,,,
During_COVID,WIN,Derrick Lewis,1,35,1,0,Heavyweight,KO/TKO,2,0:21,,,,,
During_COVID,,Aleksei Oleinik,0,2,1,2,,Punches,,,,,,,
During_COVID,WIN,Chris Weidman,0,29,5,0,Middleweight,U-DEC,3,5:00,,,,,
During_COVID,,Omari Akhmedov,0,33,4,0,,,,,,,,,
During_COVID,WIN,Darren Stewart,0,13,0,1,Middleweight,SUB,1,3:41,,,,,
During_COVID,,Maki Pitolo,0,12,1,0,,Guillotine Choke,,,,,,,
During_COVID,WIN,Yana Kunitskaya,0,43,1,0,Women's Bantamweight,U-DEC,3,5:00,,,,,
During_COVID,,Julija Stoliarenko,0,6,0,0,,,,,,,,,
During_COVID,WIN,Beneil Dariush,1,36,0,0,Lightweight,KO/TKO,1,4:38,,,,,
During_COVID,,Scott Holtzman,0,9,0,0,,Spinning Back Fist,,,,,,,
During_COVID,WIN,Tim Means,1,85,2,0,Welterweight,U-DEC,3,5:00,,,,,
During_COVID,,Laureano Staropoli,0,71,0,0,,,,,,,,,
During_COVID,WIN,Kevin Holland,2,79,0,0,Middleweight,KO/TKO,3,0:32,,,,,
During_COVID,,Joaquin Buckley,0,40,0,0,,Punch,,,,,,,
During_COVID,WIN,Nasrat Haqparast,0,104,0,0,Lightweight,U-DEC,3,5:00,,,,,
During_COVID,,Alexander Munoz,0,37,1,0,,,,,,,,,
During_COVID,WIN,Andrew Sanchez,1,28,0,0,Middleweight,KO/TKO,1,4:14,,,,,
During_COVID,,Wellington Turman,0,21,0,0,,Punch,,,,,,,
During_COVID,WIN,Gavin Tucker,0,87,1,4,Featherweight,SUB,3,1:43,,,,,
During_COVID,,Justin Jaynes,1,41,0,1,,Rear Naked Choke,,,,,,,
During_COVID,WIN,Youssef Zalal,1,54,3,3,Featherweight,U-DEC,3,5:00,,,,,
During_COVID,,Peter Barrett,0,23,0,0,,,,,,,,,
During_COVID,WIN,Irwin Rivera,0,36,2,0,Bantamweight,S-DEC,3,5:00,,,,,
During_COVID,,Ali AlQaisi,0,44,2,1,,,,,,,,,
During_COVID,WIN,Stipe Miocic,1,115,0,0,Heavyweight,U-DEC,5,5:00,,,,,
During_COVID,,Daniel Cormier,0,105,1,0,,,,,,,,,
During_COVID,WIN,Marlon Vera,0,18,0,0,Bantamweight,KO/TKO,1,4:40,,,,,
During_COVID,,Sean O'Malley,0,10,0,0,,Elbows,,,,,,,
During_COVID,WIN,Jairzinho Rozenstruik,1,42,0,0,Heavyweight,KO/TKO,2,3:47,,,,,
During_COVID,,Junior Dos Santos,0,24,0,0,,Punch,,,,,,,
During_COVID,WIN,Daniel Pineda,0,57,1,0,Featherweight,KO/TKO,2,4:37,,,,,
During_COVID,,Herbert Burns,0,10,3,0,,Elbows,,,,,,,
During_COVID,WIN,Merab Dvalishvili,0,50,2,0,Bantamweight,U-DEC,3,5:00,,,,,
During_COVID,,John Dodson,0,27,0,0,,,,,,,,,
During_COVID,WIN,Vinc Pichel,0,41,3,0,Lightweight,U-DEC,3,5:00,,,,,
During_COVID,,Jim Miller,0,14,2,2,,,,,,,,,
During_COVID,WIN,Virna Jandiroba,0,4,1,2,Women's Strawweight,SUB,1,1:44,,,,,
During_COVID,,Felice Herrig,0,1,0,0,,Armbar,,,,,,,
During_COVID,WIN,Danny Chavez,0,49,4,0,Featherweight,U-DEC,3,5:00,,,,,
During_COVID,,TJ Brown,0,43,0,0,,,,,,,,,
During_COVID,WIN,Livinha Souza,0,46,1,0,Women's Strawweight,U-DEC,3,5:00,,,,,
During_COVID,,Ashley Yoder,0,32,0,0,,,,,,,,,
During_COVID,WIN,Chris Daukaus,2,37,0,0,Heavyweight,KO/TKO,1,4:28,,,,,
During_COVID,,Parker Porter,0,17,0,0,,Knee,,,,,,,
During_COVID,WIN,Kai Kamaka,0,114,5,0,Featherweight,U-DEC,3,5:00,,,,,
During_COVID,,Tony Kelley,0,114,0,0,,,,,,,,,
During_COVID,WIN,Frankie Edgar,0,135,2,0,Bantamweight,S-DEC,5,5:00,,,,,
During_COVID,,Pedro Munhoz,0,166,0,0,,,,,,,,,
During_COVID,WIN,Mike Rodriguez,1,21,0,0,Light Heavyweight,KO/TKO,1,2:17,,,,,
During_COVID,,Marcin Prachnio,0,14,0,0,,Elbow,,,,,,,
During_COVID,WIN,Joe Solecki,0,13,0,1,Lightweight,SUB,1,3:51,,,,,
During_COVID,,Austin Hubbard,0,9,0,0,,Rear Naked Choke,,,,,,,
During_COVID,WIN,Shana Dobson,0,24,2,0,Women's Flyweight,KO/TKO,2,1:38,,,,,
During_COVID,,Mariya Agapova,0,22,2,0,,Punches,,,,,,,
During_COVID,WIN,Daniel Rodriguez,3,15,0,0,Welterweight,KO/TKO,1,2:24,,,,,
