,W/L,FIGHTER,KD,STR,TD,SUB,WEIGHT CLASS,METHOD,ROUND,TIME,,SUM  Pre COVID,,SUM During COVID,
Pre_COVID,WIN,Omar Morales,1,32,1,0,Lightweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Dong Hyun Ma,0,15,0,0,,,,,,,,,
Pre_COVID,WIN,Alexandre Pantoja,1,34,1,0,Flyweight,KO/TKO,1,4:17,,,,,
Pre_COVID,,Matt Schnell,0,20,0,0,,Punch,,,,,,,
Pre_COVID,WIN,Raoni Barcelos,0,42,2,0,Bantamweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Said Nurmagomedov,0,55,0,0,,,,,,,,,
Pre_COVID,WIN,Amanda Lemos,0,8,1,1,Women's Strawweight,SUB,1,3:43,,,,,
Pre_COVID,,Miranda Granger,0,4,0,0,,Rear Naked Choke,,,,,,,
Pre_COVID,WIN,Heili Alateng,0,47,4,0,Bantamweight,S-DEC,3,5:00,,,,,
Pre_COVID,,Ryan Benoit,0,68,0,0,,,,,,,,,
Pre_COVID,WIN,Curtis Blaydes,0,28,0,0,Heavyweight,KO/TKO,2,1:06,,,,,
Pre_COVID,,Junior Dos Santos,0,7,0,0,,Punches,,,,,,,
Pre_COVID,WIN,Michael Chiesa,0,9,6,0,Welterweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Rafael Dos Anjos,0,14,0,0,,,,,,,,,
Pre_COVID,WIN,Alex Perez,0,2,1,1,Flyweight,SUB,1,2:33,,,,,
Pre_COVID,,Jordan Espinosa,0,2,0,0,,Arm Triangle,,,,,,,
Pre_COVID,WIN,Angela Hill,0,70,1,0,Women's Strawweight,KO/TKO,2,4:26,,,,,
Pre_COVID,,Hannah Cifers,0,46,0,0,,Elbows,,,,,,,
Pre_COVID,WIN,Jamahal Hill,0,101,0,0,Light Heavyweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Darko Stosic,0,31,6,0,,,,,,,,,
Pre_COVID,WIN,Bevon Lewis,0,36,0,0,Middleweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Dequan Townsend,0,28,0,0,,,,,,,,,
Pre_COVID,WIN,Arnold Allen,0,63,0,0,Featherweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Nik Lentz,0,49,0,0,,,,,,,,,
Pre_COVID,WIN,Justine Kish,0,62,1,0,Women's Flyweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Lucie Pudilova,0,29,0,0,,,,,,,,,
Pre_COVID,WIN,Montel Jackson,1,75,11,0,Bantamweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Felipe Colares,0,7,1,3,,,,,,,,,
Pre_COVID,WIN,Sara McMann,0,38,3,1,Women's Bantamweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Lina Lansberg,0,1,0,0,,,,,,,,,
Pre_COVID,WIN,Brett Johns,0,36,6,3,Bantamweight,SUB,3,2:53,,,,,
Pre_COVID,,Tony Gravely,0,26,5,0,,Rear Naked Choke,,,,,,,
Pre_COVID,WIN,Herbert Burns,1,7,1,1,Featherweight,KO/TKO,1,2:43,,,,,
Pre_COVID,,Nate Landwehr,0,4,0,0,,Knee,,,,,,,
Pre_COVID,WIN,Conor McGregor,1,19,0,0,Welterweight,KO/TKO,1,0:40,,,,,
Pre_COVID,,Donald Cerrone,0,0,0,0,,Punches,,,,,,,
Pre_COVID,WIN,Holly Holm,0,30,0,0,Women's Bantamweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Raquel Pennington,0,38,1,0,,,,,,,,,
Pre_COVID,WIN,Aleksei Oleinik,0,7,3,3,Heavyweight,SUB,2,4:38,,,,,
Pre_COVID,,Maurice Greene,0,13,0,0,,Armbar,,,,,,,
Pre_COVID,WIN,Brian Kelleher,0,7,1,1,Bantamweight,SUB,1,2:49,,,,,
Pre_COVID,,Ode Osbourne,0,9,0,0,,Guillotine Choke,,,,,,,
Pre_COVID,WIN,Diego Ferreira,0,25,3,1,Lightweight,SUB,2,1:46,,,,,
Pre_COVID,,Anthony Pettis,0,22,0,0,,Rear Naked Choke,,,,,,,
Pre_COVID,WIN,Roxanne Modafferi,1,19,1,0,Women's Flyweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Maycee Barber,0,16,0,1,,,,,,,,,
Pre_COVID,WIN,Sodiq Yusuff,0,73,0,1,Featherweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Andre Fili,0,49,3,0,,,,,,,,,
