,Event ID,Date,Short Name,Name,Date Time,Red Fighter Name,Blue Fighter Name,American Odd that Red Fighter Will Win,American Odd that Blue Fighter Will Win,Location,Country,Winner of the Fight,Title Bout?,Weight Class,Number of Rounds in Fight,Blue Significant Strikes Landed/min,Blue Significant Striking Accuracy,Blue Average Submissions Attempted/15min,Blue Average Takedowns Landed/15min,Blue Takedown Accuracy,Red Significant Strikes Landed/min,Red Significant Striking Accuracy,Red Average Submissions Attempted/15min,Red Average Takedowns Landed/15min,Red Takedown Accuracy
20,106,2020-02-15,UFC Fight Night,UFC Fight Night: Anderson vs. Blachowicz 2,2020-02-15T17:00:00,Tim Means,Daniel Rodriguez,-345.0,285.0,"Rio Rancho, New Mexico, USA", USA,Blue,False,Welterweight,3.0,7.2,0.48,0.0,4.0,0.8,4.87,0.45,0.2,0.87,0.45
21,106,2020-02-15,UFC Fight Night,UFC Fight Night: Anderson vs. Blachowicz 2,2020-02-15T17:00:00,John Dodson,Nathaniel Wood,130.0,-150.0,"Rio Rancho, New Mexico, USA", USA,Red,False,Bantamweight,3.0,4.24,0.42,2.0,2.05,0.66,3.28,0.4,0.0,0.8,0.28
22,106,2020-02-15,UFC Fight Night,UFC Fight Night: Anderson vs. Blachowicz 2,2020-02-15T17:00:00,Jim Miller,Scott Holtzman,115.0,-135.0,"Rio Rancho, New Mexico, USA", USA,Blue,False,Lightweight,3.0,4.36,0.5,0.2,2.37,0.58,2.78,0.4,2.0,1.77,0.42
23,106,2020-02-15,UFC Fight Night,UFC Fight Night: Anderson vs. Blachowicz 2,2020-02-15T17:00:00,Devin Clark,Dequan Townsend,-400.0,325.0,"Rio Rancho, New Mexico, USA", USA,Red,False,Light Heavyweight,3.0,1.6,0.43,0.0,0.0,0.0,3.21,0.54,0.2,3.03,0.39
24,106,2020-02-15,UFC Fight Night,UFC Fight Night: Anderson vs. Blachowicz 2,2020-02-15T17:00:00,Casey Kenney,Merab Dvalishvili,150.0,-170.0,"Rio Rancho, New Mexico, USA", USA,Blue,False,Bantamweight,3.0,3.75,0.37,0.0,6.75,0.43,3.48,0.41,0.8,1.75,0.5
25,106,2020-02-15,UFC Fight Night,UFC Fight Night: Anderson vs. Blachowicz 2,2020-02-15T17:00:00,Macy Chiasson,Shanna Young,-800.0,550.0,"Rio Rancho, New Mexico, USA", USA,Red,False,Women's Bantamweight,3.0,3.79,0.6,0.0,0.0,0.0,3.76,0.55,1.0,0.0,0.0
26,106,2020-02-15,UFC Fight Night,UFC Fight Night: Anderson vs. Blachowicz 2,2020-02-15T17:00:00,Mark De La Rosa,Raulian Paiva,205.0,-245.0,"Rio Rancho, New Mexico, USA", USA,Blue,False,Flyweight,3.0,4.59,0.43,0.5,0.46,0.2,3.05,0.36,0.3,0.77,0.17
27,107,2020-02-22,UFC Fight Night,UFC Fight Night: Felder vs. Hooker,2020-02-22T16:00:00,Paul Felder,Dan Hooker,130.0,-150.0,"Auckland, New Zealand", New Zealand,Blue,False,Lightweight,5.0,4.73,0.44,0.4,0.4,0.33,3.55,0.43,0.3,0.29,0.27
28,107,2020-02-22,UFC Fight Night,UFC Fight Night: Felder vs. Hooker,2020-02-22T16:00:00,Jim Crute,Michal Oleksiejczuk,100.0,-120.0,"Auckland, New Zealand", New Zealand,Red,False,Light Heavyweight,3.0,5.39,0.56,0.0,1.2,0.66,4.56,0.57,2.3,0.58,1.0
29,107,2020-02-22,UFC Fight Night,UFC Fight Night: Felder vs. Hooker,2020-02-22T16:00:00,Karolina Kowalkiewicz,Yan Xiaonan,225.0,-265.0,"Auckland, New Zealand", New Zealand,Blue,False,Women's Strawweight,3.0,6.85,0.4,0.0,0.25,0.25,5.57,0.39,0.0,0.11,0.14
30,107,2020-02-22,UFC Fight Night,UFC Fight Night: Felder vs. Hooker,2020-02-22T16:00:00,Ben Sosoli,Marcos Rogerio De Lima,130.0,-150.0,"Auckland, New Zealand", New Zealand,Blue,False,Heavyweight,3.0,3.55,0.54,0.8,0.78,0.6,2.22,0.31,0.0,0.0,0.0
31,107,2020-02-22,UFC Fight Night,UFC Fight Night: Felder vs. Hooker,2020-02-22T16:00:00,Brad Riddell,Magomed Mustafaev,120.0,-140.0,"Auckland, New Zealand", New Zealand,Red,False,Lightweight,3.0,3.11,0.57,0.7,0.0,0.0,6.07,0.59,0.0,1.0,1.0
32,107,2020-02-22,UFC Fight Night,UFC Fight Night: Felder vs. Hooker,2020-02-22T16:00:00,Kevin Aguilar,Zubaira Tukhugov,-115.0,-105.0,"Auckland, New Zealand", New Zealand,Blue,False,Featherweight,3.0,2.28,0.35,0.0,3.03,0.56,3.78,0.36,0.0,0.25,0.5
33,107,2020-02-22,UFC Fight Night,UFC Fight Night: Felder vs. Hooker,2020-02-22T16:00:00,Jalin Turner,Joshua Culibao,-210.0,175.0,"Auckland, New Zealand", New Zealand,Red,False,Lightweight,3.0,0.0,0.0,0.0,0.0,0.0,5.66,0.45,0.6,0.61,1.0
34,107,2020-02-22,UFC Fight Night,UFC Fight Night: Felder vs. Hooker,2020-02-22T16:00:00,Jake Matthews,Emil Meek,-200.0,170.0,"Auckland, New Zealand", New Zealand,Red,False,Welterweight,3.0,2.24,0.38,1.3,0.33,0.5,3.07,0.46,0.8,1.99,0.38
35,107,2020-02-22,UFC Fight Night,UFC Fight Night: Felder vs. Hooker,2020-02-22T16:00:00,Callan Potter,Song Kenan,170.0,-200.0,"Auckland, New Zealand", New Zealand,Blue,False,Welterweight,3.0,4.13,0.45,0.0,0.0,0.0,3.21,0.51,0.0,2.83,0.6
36,107,2020-02-22,UFC Fight Night,UFC Fight Night: Felder vs. Hooker,2020-02-22T16:00:00,Kai Kara France,Tyson Nam,-260.0,220.0,"Auckland, New Zealand", New Zealand,Red,False,Flyweight,3.0,2.67,0.23,0.0,0.0,0.0,5.28,0.41,0.0,0.75,0.37
37,107,2020-02-22,UFC Fight Night,UFC Fight Night: Felder vs. Hooker,2020-02-22T16:00:00,Loma Lookboonmee,Angela Hill,155.0,-175.0,"Auckland, New Zealand", New Zealand,Blue,False,Women's Strawweight,3.0,5.97,0.5,0.1,0.46,0.41,6.6,0.65,0.0,1.0,0.16
38,107,2020-02-22,UFC Fight Night,UFC Fight Night: Felder vs. Hooker,2020-02-22T16:00:00,Priscila Cachoeira,Shana Dobson,180.0,-220.0,"Auckland, New Zealand", New Zealand,Red,False,Women's Flyweight,3.0,3.56,0.33,0.0,0.4,0.25,3.7,0.36,0.0,0.0,0.0
39,108,2020-02-29,UFC Fight Night,UFC Fight Night: Benavidez vs. Figueiredo,2020-02-29T17:00:00,Joseph Benavidez,Deiveson Figueiredo,-150.0,130.0,"Norfolk, Virginia, USA", USA,Blue,True,Flyweight,5.0,2.44,0.52,2.4,1.78,0.47,3.46,0.33,0.6,1.53,0.31
40,108,2020-02-29,UFC Fight Night,UFC Fight Night: Benavidez vs. Figueiredo,2020-02-29T17:00:00,Felicia Spencer,Zarah Fairn,-870.0,585.0,"Norfolk, Virginia, USA", USA,Red,False,Women's Featherweight,3.0,0.51,0.4,0.0,0.0,0.0,3.26,0.51,0.8,0.82,0.1
