,Date,Red Fighter Name,Blue Fighter Name,American Odd that Red Fighter Will Win,American Odd that Blue Fighter Will Win,Location,Country,Winner of the Fight,Title Bout?,Weight Class,Number of Rounds in Fight,Blue Significant Strikes Landed/min,Blue Significant Striking Accuracy,Blue Average Submissions Attempted/15min,Blue Average Takedowns Landed/15min,Blue Takedown Accuracy,Red Significant Strikes Landed/min,Red Significant Striking Accuracy,Red Average Submissions Attempted/15min,Red Average Takedowns Landed/15min,Red Takedown Accuracy
28,2020-02-22,Ben Sosoli,Marcos Rogerio De Lima,130,-150,"Auckland, New Zealand", New Zealand,Blue,False,Heavyweight,3,3.55,0.54,0.8,0.78,0.6,2.22,0.31,0.0,0.0,0.0
29,2020-02-22,Brad Riddell,Magomed Mustafaev,120,-140,"Auckland, New Zealand", New Zealand,Red,False,Lightweight,3,3.11,0.57,0.7,0.0,0.0,6.07,0.59,0.0,1.0,1.0
30,2020-02-22,Kevin Aguilar,Zubaira Tukhugov,-115,-105,"Auckland, New Zealand", New Zealand,Blue,False,Featherweight,3,2.28,0.35,0.0,3.03,0.56,3.78,0.36,0.0,0.25,0.5
31,2020-02-22,Jalin Turner,Joshua Culibao,-210,175,"Auckland, New Zealand", New Zealand,Red,False,Lightweight,3,0.0,0.0,0.0,0.0,0.0,5.66,0.45,0.6,0.61,1.0
32,2020-02-22,Jake Matthews,Emil Meek,-200,170,"Auckland, New Zealand", New Zealand,Red,False,Welterweight,3,2.24,0.38,1.3,0.33,0.5,3.07,0.46,0.8,1.99,0.38
33,2020-02-22,Callan Potter,Song Kenan,170,-200,"Auckland, New Zealand", New Zealand,Blue,False,Welterweight,3,4.13,0.45,0.0,0.0,0.0,3.21,0.51,0.0,2.83,0.6
34,2020-02-22,Kai Kara France,Tyson Nam,-260,220,"Auckland, New Zealand", New Zealand,Red,False,Flyweight,3,2.67,0.23,0.0,0.0,0.0,5.28,0.41,0.0,0.75,0.37
35,2020-02-22,Loma Lookboonmee,Angela Hill,155,-175,"Auckland, New Zealand", New Zealand,Blue,False,Women's Strawweight,3,5.97,0.5,0.1,0.46,0.41,6.6,0.65,0.0,1.0,0.16
36,2020-02-22,Priscila Cachoeira,Shana Dobson,180,-220,"Auckland, New Zealand", New Zealand,Red,False,Women's Flyweight,3,3.56,0.33,0.0,0.4,0.25,3.7,0.36,0.0,0.0,0.0
37,2020-02-29,Joseph Benavidez,Deiveson Figueiredo,-150,130,"Norfolk, Virginia, USA", USA,Blue,True,Flyweight,5,2.44,0.52,2.4,1.78,0.47,3.46,0.33,0.6,1.53,0.31
38,2020-02-29,Felicia Spencer,Zarah Fairn,-870,585,"Norfolk, Virginia, USA", USA,Red,False,Women's Featherweight,3,0.51,0.4,0.0,0.0,0.0,3.26,0.51,0.8,0.82,0.1
39,2020-02-29,Ion Cutelaba,Magomed Ankalaev,185,-225,"Norfolk, Virginia, USA", USA,Blue,False,Light Heavyweight,3,3.32,0.56,0.0,0.69,0.33,5.27,0.39,0.0,2.62,0.71
40,2020-02-29,Megan Anderson,Norma Dumont,-245,205,"Norfolk, Virginia, USA", USA,Red,False,Women's Featherweight,3,0.0,0.0,0.0,0.0,0.0,1.8,0.46,0.6,0.64,0.5
41,2020-02-29,Grant Dawson,Darrick Minner,-475,380,"Norfolk, Virginia, USA", USA,Red,False,Featherweight,3,6.85,0.54,0.0,0.0,0.0,3.76,0.46,2.1,5.23,0.45
42,2020-02-29,Gabriel Silva,Kyler Phillips,-130,110,"Norfolk, Virginia, USA", USA,Blue,False,Bantamweight,3,18.26,0.56,0.0,0.0,0.0,0.53,0.5,0.0,1.0,0.16
43,2020-02-29,Brendan Allen,Tom Breese,110,-130,"Norfolk, Virginia, USA", USA,Red,False,Middleweight,3,3.85,0.49,0.3,0.0,0.0,2.0,0.53,6.2,3.74,0.42
44,2020-02-29,Luis Pena,Steve Garcia,-270,230,"Norfolk, Virginia, USA", USA,Red,False,Lightweight,3,8.89,0.55,0.0,0.0,0.0,3.7,0.45,1.0,1.25,0.31
45,2020-02-29,Marcin Tybura,Serghei Spivac,100,-120,"Norfolk, Virginia, USA", USA,Red,False,Heavyweight,3,2.65,0.53,1.6,9.93,0.75,3.61,0.51,0.1,1.48,0.61
46,2020-02-29,Jordan Griffin,TJ Brown,-135,115,"Norfolk, Virginia, USA", USA,Red,False,Featherweight,3,3.31,0.47,1.2,5.78,0.71,3.15,0.46,1.8,0.44,0.25
47,2020-02-29,Aalon Cruz,Spike Carlyle,-190,165,"Norfolk, Virginia, USA", USA,Blue,False,Featherweight,3,0.0,0.0,0.0,0.0,0.0,9.04,0.4,0.0,0.0,0.0
48,2020-02-29,Sean Brady,Ismail Naurdiev,105,-125,"Norfolk, Virginia, USA", USA,Red,False,Welterweight,3,3.4,0.56,0.3,1.67,0.83,7.93,0.56,0.0,2.0,0.66
49,2020-03-07,Israel Adesanya,Yoel Romero,-260,240,"Las Vegas, Nevada, USA",USA,Red,True,Middleweight,5,3.71,0.49,0.0,1.79,0.31,4.46,0.5,0.4,0.0,0.0
50,2020-03-07,Weili Zhang,Joanna Jedrzejczyk,-185,170,"Las Vegas, Nevada, USA",USA,Red,True,Women's Strawweight,5,6.18,0.47,0.1,0.3,0.62,6.22,0.49,0.9,1.75,0.3
51,2020-03-07,Beneil Dariush,Drakkar Klose,-162,152,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,3,3.98,0.52,0.0,1.67,0.3,3.95,0.49,0.9,1.77,0.34
52,2020-03-07,Neil Magny,Li Jingliang,157,-167,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,3,4.9,0.43,0.0,1.24,0.36,3.86,0.46,0.3,2.62,0.46
53,2020-03-07,Alex Oliveira,Max Griffin,-125,115,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,3,4.22,0.49,0.6,1.89,0.54,2.9,0.5,0.7,2.86,0.39
54,2020-03-07,Sean O'Malley,Jose Quinonez,-330,300,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,3,3.49,0.47,0.7,2.64,0.45,6.75,0.56,1.3,1.31,0.5
55,2020-03-07,Mark Madsen,Austin Hubbard,-215,195,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,3,3.17,0.41,0.0,1.5,0.6,18.33,0.75,0.0,12.5,0.5
