Pre COVID,W/L,FIGHTER,KD,STR,TD,SUB,WEIGHT CLASS,METHOD,ROUND,TIME
,,Aalon Cruz,0,2,0,0,,Punches,,
,WIN,Sean Brady,0,47,4,1,Welterweight,U-DEC,3,5:00
,,Ismail Naurdiev,0,37,0,0,,,,
,WIN,Israel Adesanya,0,48,0,0,Middleweight,U-DEC,5,5:00
,,Yoel Romero,0,40,0,0,,,,
,WIN,Zhang Weili,0,165,1,0,Women's Strawweight,S-DEC,5,5:00
,,Joanna Jedrzejczyk,0,186,0,0,,,,
,WIN,Beneil Dariush,1,12,1,2,Lightweight,KO/TKO,2,1:00
,,Drakkar Klose,0,15,0,0,,Punch,,
,WIN,Neil Magny,0,74,4,0,Welterweight,U-DEC,3,5:00
,,Li Jingliang,0,16,2,0,,,,
,WIN,Alex Oliveira,0,40,1,0,Welterweight,S-DEC,3,5:00
,,Max Griffin,0,23,2,0,,,,
,WIN,Sean O'Malley,0,18,0,0,Bantamweight,KO/TKO,1,2:02
,,Jose Quinonez,0,0,0,0,,Punches,,
,WIN,Mark Madsen,0,15,8,0,Lightweight,U-DEC,3,5:00
,,Austin Hubbard,0,41,0,0,,,,
,WIN,Rodolfo Vieira,0,5,2,1,Middleweight,SUB,1,2:58
,,Saparbeg Safarov,0,5,0,0,,Arm Triangle,,
,WIN,Gerald Meerschaert,1,86,1,1,Middleweight,SUB,3,2:13
,,Deron Winn,0,53,1,0,,Rear Naked Choke,,
,WIN,Giga Chikadze,0,38,0,0,Featherweight,S-DEC,3,5:00
,,Jamall Emmers,0,54,2,0,,,,
,WIN,Batgerel Danaa,1,17,0,0,Bantamweight,KO/TKO,1,3:01
,,Guido Cannetti,0,11,0,0,,Punch,,
,WIN,Charles Oliveira,0,43,0,2,Lightweight,SUB,3,0:28
,,Kevin Lee,0,41,2,0,,Guillotine Choke,,
,WIN,Gilbert Burns,1,13,0,0,Welterweight,KO/TKO,1,2:34
,,Demian Maia,0,4,2,0,,Punch,,
,WIN,Renato Moicano,0,1,1,1,Lightweight,SUB,1,0:44
,,Damir Hadzovic,0,1,0,0,,Rear Naked Choke,,
,WIN,Nikita Krylov,0,45,3,0,Light Heavyweight,U-DEC,3,5:00
,,Johnny Walker,0,37,0,0,,,,
,WIN,Francisco Trinaldo,0,55,0,0,Lightweight,U-DEC,3,5:00
,,John Makdessi,0,67,0,0,,,,
,WIN,Brandon Moreno,0,33,0,0,Flyweight,U-DEC,3,5:00
,,Jussier Formiga,0,15,1,1,,,,
,WIN,Amanda Ribas,0,85,1,2,Women's Strawweight,U-DEC,3,5:00
,,Randa Markos,0,36,1,0,,,,
,WIN,Elizeu Zaleski dos Santos,0,62,2,0,Welterweight,U-DEC,3,5:00
,,Aleksei Kunchenko,0,57,0,0,,,,
,DRAW,Rani Yahya,0,24,2,0,Bantamweight,M-DEC,3,5:00
,DRAW,Enrique Barzola,0,57,1,1,,,,
,WIN,Maryna Moroz,0,139,2,0,Women's Flyweight,U-DEC,3,5:00
,,Mayra Bueno Silva,0,88,0,0,,,,
,WIN,David Dvorak,0,67,0,0,Flyweight,U-DEC,3,5:00
,,Bruno Silva,0,45,3,0,,,,
,WIN,Bea Malecki,0,130,0,0,Women's Bantamweight,U-DEC,3,5:00
,,Veronica Macedo,0,93,0,0,,,,
,WIN,Justin Gaethje,0,143,0,0,Lightweight,KO/TKO,5,3:39
,,Tony Ferguson,0,136,0,0,,Punch,,
,WIN,Henry Cejudo,1,53,1,0,Bantamweight,KO/TKO,2,4:58
,,Dominick Cruz,0,33,0,0,,Knee,,
,WIN,Francis Ngannou,1,6,0,0,Heavyweight,KO/TKO,1,0:20
,,Jairzinho Rozenstruik,0,5,0,0,,Punch,,
,WIN,Calvin Kattar,1,52,0,0,Featherweight,KO/TKO,2,2:49
,,Jeremy Stephens,0,57,0,0,,Elbow,,
